"OBJECT           ","OTHER             ","TYPE ","CON","RA     ","DEC   ","MAG ","SUBR","U2K","TI","SIZE_MAX","SIZE_MIN","PA ","CLASS      ","NSTS","BRSTR","BCHM","NGC DESCR                                              ","NOTES                                                                                 "
"NGC 7119A        ","NGC 7119-1        ","GALXY","GRU","21 46.3","-46 31","12.9","12.6","413","23","   1.2 m","   0.9 m","130","SBbc       ","    ","     ","    ","F;S;R;gbM                                              ","                                                                                      "
"NGC 7144         ","ESO 237-11        ","GALXY","GRU","21 52.7","-48 15","10.8","13.6","413","23","   3.7 m","   3.6 m","   ","Elliptical ","    ","     ","    ","vB;pS;R;mbMN                                           ","                                                                                      "
"NGC 7145         ","ESO 237-13        ","GALXY","GRU","21 53.3","-47 53","11.1","13.1","413","23","   2.5 m","   2.3 m","   ","Elliptical ","    ","     ","    ","B;S;R;in triangle of st 13                             ","                                                                                      "
"IC  5148         ","PK 2-52.1         ","PLNNB","GRU","21 59.6","-39 23","11.0","14.4","413","23"," 120   s","        ","   ","4          ","    ","16.2 ","    ","pB;L;lE;* att;annular                                  ","Also IC 5149 and IC 5150;called IC 5150 in Hartung                                    "
"NGC 7162         ","ESO 288-26        ","GALXY","GRU","21 59.6","-43 18","12.7","13.7","413","23","   2.8 m","   1   m","10 ","Sc         ","    ","     ","    ","cF;cL;cE;glbM                                          ","                                                                                      "
"NGC 7166         ","ESO 288-27        ","GALXY","GRU","22 00.5","-43 23","11.9","12.6","414","23","   2.4 m","   0.9 m","14 ","E-SO       ","    ","     ","    ","cB;S;vlE;smbMN                                         ","                                                                                      "
"NGC 7162A        ","ESO 288-28        ","GALXY","GRU","22 00.6","-43 09","12.6","14.4","414","23","   2.6 m","   2.2 m","70 ","SB         ","    ","     ","    ","                                                       ","                                                                                      "
"NGC 7169         ","ESO 237-28        ","GALXY","GRU","22 02.8","-47 42","14.5","99.9","414","23","   1   m","   0.5 m","78 ","E-S0  B    ","    ","     ","    ","eF;S;R;*8 np                                           ","                                                                                      "
"NGC 7213         ","ESO 288-43        ","GALXY","GRU","22 09.3","-47 10","10.1","12.3","414","23","   3.7 m","   3.4 m","   ","Sa         ","    ","     ","    ","vB;pS;R;gbM                                            ","16' SE from Alpha Gru                                                                 "
"IC  5181         ","ESO 289-G001      ","GALXY","GRU","22 13.4","-46 01","11.5","12.2","414","23","   2.5 m","   0.9 m","74 ","SA0        ","    ","     ","    ","                                                       ","Brightest in group with NGC 7232;A; B and NGC 7233                                    "
"NGC 7232A        ","ESO 289- 3        ","GALXY","GRU","22 13.7","-45 54","13.0","12.7","414","23","   2.1 m","   0.4 m","111","SBab       ","    ","     ","    ","                                                       ","                                                                                      "
"NGC 7232         ","ESO 289- 7        ","GALXY","GRU","22 15.6","-45 51","12.0","12.7","414","23","   2.6 m","   1   m","99 ","SBa        ","    ","     ","    ","pB;S;pmE;psbM;p of 2                                   ","P w NGC 7233 @2'                                                                      "
"NGC 7233         ","ESO 289- 8        ","GALXY","GRU","22 15.8","-45 51","12.5","13.2","414","23","   1.7 m","   1.3 m","133","SBO-a      ","    ","     ","    ","F;vS;R;*8 f;f of 2                                     ","                                                                                      "
"NGC 7232B        ","ESO 289- 9        ","GALXY","GRU","22 15.9","-45 47","13.6","14.5","414","23","   1.6 m","   1.5 m","   ","SB         ","    ","     ","    ","                                                       ","                                                                                      "
"IC  5186         ","ESO 405-G007      ","GALXY","GRU","22 18.8","-36 48","11.9","12.6","383","23","   1.8 m","   1.2 m","112","SBb        ","    ","     ","    ","eeF;S;R;F * nr preceeding                              ","                                                                                      "
"NGC 7249         ","ESO 190- 1        ","GALXY","GRU","22 20.5","-55 08","13.4","13.1","438","26","   1.1 m","   0.8 m","136","SO         ","    ","     ","    ","eeF;R;doubtful obj                                     ","                                                                                      "
"IC  5201         ","ESO 289-GO18      ","GALXY","GRU","22 21.0","-46 02","10.6","14.3","414","23","   7.8 m","   4   m","33 ","SBc        ","    ","     ","    ","                                                       ","                                                                                      "
"NGC 7297         ","ESO 345-18        ","GALXY","GRU","22 31.2","-37 50","13.7","12.8","384","23","   0.9 m","   0.6 m","130","Sbc        ","    ","     ","    ","eF;S;R;p of 2                                          ","                                                                                      "
"NGC 7299         ","ESO 345-19        ","GALXY","GRU","22 31.6","-37 49","14.0","13  ","384","23","   0.7 m","   0.7 m","   ","SBc        ","    ","     ","    ","eF;S;R;f of 2                                          ","                                                                                      "
"NGC 7307         ","ESO 345-26        ","GALXY","GRU","22 33.9","-40 56","12.6","13.7","414","23","   3.4 m","   1   m","9  ","SBc/P      ","    ","     ","    ","F;pL;pmE                                               ","                                                                                      "
